ID,Last Name,First Name,Title,Department,Phone,Extension,E-mail,Start Date,End Date,UDF0,UDF1,UDF2,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF20,UDF21,UDF22,UDF23,UDF24,UDF25,UDF26,UDF27,UDF28,UDF29,UDF30,UDF31,UDF32,UDF33,UDF34
9009,Portillo,Ashley,Claims Specialist,Accounting,555-678-9000,9009.0,ashley.portillo@initec.com,7/25/2019,,100,Crystal Allen,,,,,,,,,,,,,@AshleyPortillo,,,,,,,,,,,,,,,,,,,,
9010,Davis,Bill,"VP, Regional Sales",Accounting,555-678-9000,9010.0,bill.davis@initec.com,7/25/2019,,100,Crystal Allen,,,,,,,,,,,,,@BillDavis,,,,,,,,,,,,,,,,,,,,
9011,Bolzenius,Bonnie,"Manager, Remedy Resolution",Human Resources,555-678-9000,9011.0,bonnie.bolzenius@initec.com,7/25/2019,,100,Crystal Allen,,,,,,,,,,,,,@BonnieBolzenius,,,,,,,,,,,,,,,,,,,,
9012,Terranova-Judge,Brenda,Sales Operations Assistant,Accounting,555-678-9000,9012.0,brenda.terranova-judge@initec.com,7/25/2019,,100,Crystal Allen,,,,,,,,,,,,,@BrendaTerranova-Judge,,,,,,,,,,,,,,,,,,,,
9013,Kapci,Brian,"Supervisor, Compliance UW",Human Resources,555-678-9000,9013.0,brian.kapci@initec.com,7/25/2019,,100,Crystal Allen,First Aid,,,,,,,,,,,,@BrianKapci,,,,,,,,,,,,,,,,,,,,
9014,Brumfield,Carol,Temporary Worker,Human Resources,555-678-9000,9014.0,carol.brumfield@initec.com,7/25/2019,,110,Crystal Allen,,,,Move Coord,,,,,,P21004,,,@CarolBrumfield,,,,,,,,,,,,,,,,,,,,
9015,Wilshusen,Carol,Sr. Claims Specialist,Accounting,555-678-9000,9015.0,carol.wilshusen@initec.com,7/25/2019,,110,Crystal Allen,,,,,,,,,,,,,@CarolWilshusen,,,,,,,,,,,,,,,,,,,,
9016,LaRochelle,Christina,Claims Specialist,Accounting,555-678-9000,9016.0,christina.larochelle@initec.com,7/25/2019,,110,Crystal Allen,,,,,,,,,,,,,@ChristinaLaRochelle,,,,,,,,,,,,,,,,,,,,
9017,Mader,Christine,Temporary Worker,Accounting,555-678-9000,9017.0,christine.mader@initec.com,7/25/2019,,110,Crystal Allen,,,,,,,,,,,,,@ChristineMader,,,,,,,,,,,,,,,,,,,,
9018,Phoenix,Cindy,Temporary Worker,Accounting,555-678-9000,9018.0,cindy.phoenix@initec.com,7/25/2019,,110,Crystal Allen,,,Contractor,,,,,,,,,,@CindyPhoenix,,,,,,,,,,,,,,,,,,,,
9019,Bennett,Corey,"VP, Sales",Sales,555-678-9000,9019.0,corey.bennett@initec.com,7/25/2019,,110,Crystal Allen,,,Other,,,,,,,,,,@CoreyBennett,,,,,,,,,,,,,,,,,,,,
9020,Flowers,Craig,Compliance Underwriter,IT,555-678-9000,9020.0,craig.flowers@initec.com,7/25/2019,,110,Crystal Allen,,,,,,,,,,,,,@CraigFlowers,,,,,,,,,,,,,,,,,,,,
9021,Fox,Cris,Compliance Underwriter,Sales,555-678-9000,9021.0,cris.fox@initec.com,7/25/2019,,110,Crystal Allen,First Aid,,,,,,,,,,,,@CrisFox,,,,,,,,,,,,,,,,,,,,
9024,Greco,Cynthia,Review Appraisal Specialist,Accounting,555-678-9000,9024.0,cynthia.greco@initec.com,7/25/2019,,110,Crystal Allen,,,,,,,,,,,,,@CynthiaGreco,,,,,,,,,,,,,,,,,,,,
9025,Rosevear,Daniel,"Manager, Loss Recovery",Accounting,555-678-9000,9025.0,daniel.rosevear@initec.com,,,110,Crystal Allen,,,,,,,,,,,,,@DanielRosevear,,,,,,,,,,,,,,,,,,,,
9026,Oleson,Daniel,Claims Specialist,Accounting,555-678-9000,9026.0,danielle.oleson@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@DanielleOleson,,,,,,,,,,,,,,,,,,,,
9027,Arevalo,Darrell,"Manager, Claims",Finance,555-678-9000,9027.0,darrell.arevalo@initec.com,,,150,Crystal Allen,,,Other,,,,,4/11/2016,,,,,@DarrellArevalo,,,,,,,,,,,,,,,,,,,,
9028,Conners,Debbie,Compliance Underwriter,Accounting,555-678-9000,9028.0,debbie.conners@initec.com,,,150,Crystal Allen,Fire Warden,,,,,,,,,,,,@DebbieConners,,,,,,,,,,,,,,,,,,,,
9029,Hellar,Debbie,Compliance Underwriter,Accounting,555-678-9000,9029.0,debbie.hellar@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@DebbieHellar,,,,,,,,,,,,,,,,,,,,
9030,Kretschmer,Debbie,Remedy Underwriting Analyst,Accounting,555-678-9000,9030.0,debbie.kretschmer@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@DebbieKretschmer,,,,,,,,,,,,,,,,,,,,
9031,Brown,Debi,Claims Specialist,Accounting,555-678-9000,9031.0,debi.brown@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@DebiBrown,,,,,,,,,,,,,,,,,,,,
9032,Cutliff,Denise,Release Consultant,Accounting,555-678-9000,9032.0,denise.cutliff@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@DeniseCutliff,,,,,,,,,,,,,,,,,,,,
9033,Collins,Dharmesh,Temporary Worker,Finance,555-678-9000,9033.0,dharmesh.collins@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@DharmeshCollins,,,,,,,,,,,,,,,,,,,,
9034,Pavlik,Diana,Claims Specialist,Accounting,555-678-9000,9034.0,diana.pavlik@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@DianaPavlik,,,,,,,,,,,,,,,,,,,,
9035,Ellis,Diane,"Supervisor, Compliance UW",Accounting,555-678-9000,9035.0,diane.ellis@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@DianeEllis,,,,,,,,,,,,,,,,,,,,
9036,Rahmanzai,Edna,"Manager, Claims Support",Accounting,555-678-9000,9036.0,edna.rahmanzai@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@EdnaRahmanzai,,,,,,,,,,,,,,,,,,,,
9037,Concepcion,Eleanor,Pool Marketing Specialist,Accounting,555-678-9000,9037.0,eleanor.concepcion@initec.com,,,150,Crystal Allen,First Aid,,,,,,,,,,,,@EleanorConcepcion,,,,,,,,,,,,,,,,,,,,
9038,Takamura,Elicia,"Supervisor, Claims",Accounting,555-678-9000,9038.0,elicia.takamura@initec.com,,,150,Crystal Allen,Fire Warden,,,,,,,,,,,,@EliciaTakamura,,,,,,,,,,,,,,,,,,,,
9039,Huddleston,Eric,Compliance Underwriter,Accounting,555-678-9000,9039.0,eric.huddleston@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@EricHuddleston,,,,,,,,,,,,,,,,,,,,
9040,Nakamura,Evie,Natl UW Bus Risk Consultant,Accounting,555-678-9000,9040.0,evie.nakamura@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@EvieNakamura,,,,,,,,,,,,,,,,,,,,
9041,Meehan,Fahima,Default Reporting Specialist,Accounting,555-678-9000,9041.0,fahima.meehan@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@FahimaMeehan,,,,,,,,,,,,,,,,,,,,
9042,Hall,Helen,Release Consultant,Human Resources,555-678-9000,9042.0,helen.hall@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@HelenHall,,,,,,,,,,,,,,,,,,,,
9043,Flores,Isaac,Temporary Worker,Accounting,555-678-9000,9043.0,isaac.flores@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@IsaacFlores,,,,,,,,,,,,,,,,,,,,
9044,Mensah,Jane,Remedy Resolutions Counselor,Accounting,555-678-9000,9044.0,jane.mensah@initec.com,,,150,Crystal Allen,First Aid,,,,,,,,,,,,@JaneMensah,,,,,,,,,,,,,,,,,,,,
9045,Daugherty,Janet,"Manager, Compliance Underwrtg",IT,555-678-9000,9045.0,janet.daugherty@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@JanetDaugherty,,,,,,,,,,,,,,,,,,,,
9046,Shirey,Janice,Compliance Underwriter,Accounting,555-678-9000,9046.0,janice.shirey@initec.com,,,150,Crystal Allen,,,,,,,,,,,,,@JaniceShirey,,,,,,,,,,,,,,,,,,,,
9047,Gabriel,Jason,Claims Specialist,Accounting,555-678-9000,9047.0,jason.gabriel@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JasonGabriel,,,,,,,,,,,,,,,,,,,,
9048,Shevelson,Jay,"Manager, Sales Operations",Finance,555-678-9000,9048.0,jay.shevelson@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JayShevelson,,,,,,,,,,,,,,,,,,,,
9049,Enrique,Jennifer,Claims Specialist,Accounting,555-678-9000,9049.0,jennifer.enrique@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JenniferEnrique,,,,,,,,,,,,,,,,,,,,
9050,Hernandez,Jennifer,Temporary Worker,Marketing,555-678-9000,9050.0,jennifer.hernandez@initec.com,,,160,Crystal Allen,Fire Warden,,,,,,,,,,,,@JenniferHernandez,,,,,,,,,,,,,,,,,,,,
9051,Pfeuffer,Jennifer,CWR - Agency/Leased Employee,Sales,555-678-9000,9051.0,jennifer.pfeuffer@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JenniferPfeuffer,,,,,,,,,,,,,,,,,,,,
9052,Saldin-Hogenson,Jennifer,Compliance Underwriter,Accounting,555-678-9000,9052.0,jennifer.saldin-hogenson@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JenniferSaldin-Hogenson,,,,,,,,,,,,,,,,,,,,
9053,Christolos,Jerry,Temporary Worker,Accounting,555-678-9000,9053.0,jerry.christolos@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JerryChristolos,,,,,,,,,,,,,,,,,,,,
9054,Idul,JoDee,Claims Specialist,IT,555-678-9000,9054.0,jodee.idul@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JoDeeIdul,,,,,,,,,,,,,,,,,,,,
9055,Smith,Judi,Compliance Underwriter,Finance,555-678-9000,9055.0,judi.smith@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JudiSmith,,,,,,,,,,,,,,,,,,,,
9056,Chillappagari,Julie,Claims Representative,Accounting,555-678-9000,9056.0,julie.chillappagari@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JulieChillappagari,,,,,,,,,,,,,,,,,,,,
9057,Fauvre,Julie,Remedy Underwriting Coordinato,Accounting,555-678-9000,9057.0,julie.fauvre@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JulieFauvre,,,,,,,,,,,,,,,,,,,,
9058,Huff,Julie,Claims Specialist,Finance,555-678-9000,9058.0,julie.huff@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@JulieHuff,,,,,,,,,,,,,,,,,,,,
9059,Crow,Kathy,Compliance Underwriter,Accounting,555-678-9000,9059.0,kathy.crow@initec.com,,,160,Crystal Allen,First Aid,,,,,,,,,,,,@KathyCrow,,,,,,,,,,,,,,,,,,,,
9060,Cardinaui,Kelly,Temporary Worker,Sales,555-678-9000,9060.0,kelly.cardinaui@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@KellyCardinaui,,,,,,,,,,,,,,,,,,,,
9061,Becker,Kevin,"Director, Claims & Loss Recov",Accounting,555-678-9000,9061.0,kevin.becker@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@KevinBecker,,,,,,,,,,,,,,,,,,,,
9062,Jones,Kristen,"Manager, Compliance Underwrtg",Accounting,555-678-9000,9062.0,kristen.jones@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@KristenJones,,,,,,,,,,,,,,,,,,,,
9063,Stone-Hickman,Laura,Claims Specialist,Accounting,555-678-9000,9063.0,laura.stone-hickman@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@LauraStone-Hickman,,,,,,,,,,,,,,,,,,,,
9064,Lambert,Leslie,Compliance Underwriter,Accounting,555-678-9000,9064.0,leslie.lambert@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@LeslieLambert,,,,,,,,,,,,,,,,,,,,
9065,Blaschke,Linda,"Supervisor, Compliance UW",Accounting,555-678-9000,9065.0,linda.blaschke@initec.com,,,160,Crystal Allen,,,Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9066,Vienna,Linda,Compliance Underwriter,Accounting,555-678-9000,9066.0,linda.vienna@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@LindaVienna,,,,,,,,,,,,,,,,,,,,
9067,Brunetti,Lupe,Claims Representative,Accounting,555-678-9000,9067.0,lupe.brunetti@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@LupeBrunetti,,,,,,,,,,,,,,,,,,,,
9068,Concepcion,Lynnea,Claims Specialist,Finance,555-678-9000,9068.0,lynnea.concepcion@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@LynneaConcepcion,,,,,,,,,,,,,,,,,,,,
9069,Ross-Moyer,Maggie,Release Consultant,Accounting,555-678-9000,9069.0,maggie.ross-moyer@initec.com,,,160,Crystal Allen,Fire Warden,,,,,,,,,,,,@MaggieRoss-Moyer,,,,,,,,,,,,,,,,,,,,
9070,Ruiz,Maggie,Claims Representative,Accounting,555-678-9000,9070.0,maggie.ruiz@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@MaggieRuiz,,,,,,,,,,,,,,,,,,,,
9071,Huffman,Margaret,"Supervisor, Compliance UW",Accounting,555-678-9000,9071.0,margaret.huffman@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@MargaretHuffman,,,,,,,,,,,,,,,,,,,,
9072,Barger,Maria,Release Consultant,Accounting,555-678-9000,9072.0,maria.barger@initec.com,,,160,Crystal Allen,,,Contractor,,,,,,,,,,@MariaBarger,,,,,,,,,,,,,,,,,,,,
9073,Balram,Mariel,Temporary Worker,Finance,555-678-9000,9073.0,mariel.balram@initec.com,,,160,Crystal Allen,,,Contractor,,Kosher,,,,,,,,@MarielBalram,,,,,,,,,,,,,,,,,,,,
9074,Holt,Marietta,Sales Operations Assistant,Accounting,555-678-9000,9074.0,marietta.holt@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@MariettaHolt,,,,,,,,,,,,,,,,,,,,
9075,Pannes,Marsha,Executive Assistant II,Sales,555-678-9000,9075.0,marsha.pannes@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@MarshaPannes,,,,,,,,,,,,,,,,,,,,
9076,Kerr,Martha,Release Consultant,Accounting,555-678-9000,9076.0,martha.kerr@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@MarthaKerr,,,,,,,,,,,,,,,,,,,,
9077,Lewis,Meg,Claims Specialist,Accounting,555-678-9000,9077.0,meg.lewis@initec.com,,,160,Crystal Allen,,,,,,,,,,,,,@MegLewis,,,,,,,,,,,,,,,,,,,,
9078,Petre,Melissa,Claims Representative,IT,555-678-9000,9078.0,melissa.petre@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@MelissaPetre,,,,,,,,,,,,,,,,,,,,
9079,Ramirez,Melissa,Claims Recovery Specialist,Accounting,555-678-9000,9079.0,melissa.ramirez@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@MelissaRamirez,,,,,,,,,,,,,,,,,,,,
9080,Vaz,Michele,Temporary Worker,Accounting,555-678-9000,9080.0,michele.vaz@initec.com,,,170,Crystal Allen,First Aid,,,,,,,,,,,,@MicheleVaz,,,,,,,,,,,,,,,,,,,,
9081,Evans,Mike,Sr. Sales Strategist,Finance,555-678-9000,9081.0,mike.evans@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@MikeEvans,,,,,,,,,,,,,,,,,,,,
9082,Gee,Nancy,"Supervisor, Claims",Accounting,555-678-9000,9082.0,nancy.gee@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@NancyGee,,,,,,,,,,,,,,,,,,,,
9083,Slinger,Nancy,Executive Assistant II,Accounting,555-678-9000,9083.0,nancy.slinger@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@NancySlinger,,,,,,,,,,,,,,,,,,,,
9084,Scott,Natasha,Claims Recovery Specialist,Human Resources,555-678-9000,9084.0,natasha.scott@initec.com,,,170,Crystal Allen,Fire Warden,,Contractor,,,,,,,,,,@NatashaScott,,,,,,,,,,,,,,,,,,,,
9085,Shamim,Sahba,Claims Specialist,Finance,555-678-9000,9085.0,shamim@officespacesoftware.com,,,170,Crystal Allen,,,Contractor,,,,,,,,,,@NathanBalingit,,,,,,,,,,,,,,,,,,,,
9086,Harris,Neysa,Claims Representative,Sales,555-678-9000,9086.0,neysa.harris@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@NeysaHarris,,,,,,,,,,,,,,,,,,,,
9087,Melara,Nguyet,Claims Specialist,Finance,555-678-9000,9087.0,nguyet.melara@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@NguyetMelara,,,,,,,,,,,,,,,,,,,,
9088,Martinez,Nick,Temporary Worker,Finance,555-678-9000,9088.0,nick.martinez@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@NickMartinez,,,,,,,,,,,,,,,,,,,,
9089,Hutchings,Nicole,Pool Marketing Specialist,Accounting,555-678-9000,9089.0,nicole.hutchings@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@NicoleHutchings,,,,,,,,,,,,,,,,,,,,
9090,Markantes,Pam,Remedy Underwriting Analyst,Accounting,555-678-9000,9090.0,pam.markantes@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@PamMarkantes,,,,,,,,,,,,,,,,,,,,
9091,Juul-Yore,Patti,Compliance Underwriter,Human Resources,555-678-9000,9091.0,patti.juul-yore@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@PattiJuul-Yore,,,,,,,,,,,,,,,,,,,,
9092,Gerber,Patty,Compliance Underwriter,Accounting,555-678-9000,9092.0,patty.gerber@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@PattyGerber,,,,,,,,,,,,,,,,,,,,
9093,Zembsch,Patty,"Supervisor, Compliance UW",Accounting,555-678-9000,9093.0,patty.zembsch@initec.com,,,170,Crystal Allen,First Aid,,,,,,,,,,,,@PattyZembsch,,,,,,,,,,,,,,,,,,,,
9094,Williams,Paula,Temporary Worker,Accounting,555-678-9000,9094.0,paula.williams@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@PaulaWilliams,,,,,,,,,,,,,,,,,,,,
9095,Orlando,Peggi,Compliance Underwriter,Accounting,555-678-9000,9095.0,peggi.orlando@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@PeggiOrlando,,,,,,,,,,,,,,,,,,,,
9096,Johnson,Peggy,Compliance Underwriter,Human Resources,555-678-9000,9096.0,peggy.johnson@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@PeggyJohnson,,,,,,,,,,,,,,,,,,,,
9097,Shirreffs,Pete,"SVP, Field Sales & Natl Accts",Accounting,555-678-9000,9097.0,pete.shirreffs@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@PeteShirreffs,,,,,,,,,,,,,,,,,,,,
9098,Zermeno,Pinthip,Claims Specialist,Accounting,555-678-9000,9098.0,pinthip.zermeno@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@PinthipZermeno,,,,,,,,,,,,,,,,,,,,
9099,Balsara,Pranil,Temporary Worker,Finance,555-678-9000,9099.0,pranil.balsara@initec.com,,,170,Crystal Allen,,,Contractor,,,,,,,,,,@PranilBalsara,,,,,,,,,,,,,,,,,,,,
9100,Domantay,Primo,Sr. Claims Specialist,Accounting,555-678-9000,9100.0,primo.domantay@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@PrimoDomantay,,,,,,,,,,,,,,,,,,,,
9101,Ray,Rachel,Temporary Worker,Accounting,555-678-9000,9101.0,rachel.ray@initec.com,,,170,Crystal Allen,First Aid,,,,,,,,,,,,@RachelRay,,,,,,,,,,,,,,,,,,,,
9102,Turrentine,Ramona,Compliance Underwriter,Accounting,555-678-9000,9102.0,ramona.turrentine@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@RamonaTurrentine,,,,,,,,,,,,,,,,,,,,
9103,Clancy,Robert,"Manager, Valuations",Accounting,555-678-9000,9103.0,robert.clancy@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@RobertClancy,,,,,,,,,,,,,,,,,,,,
9104,Rowe,Robert,Temporary Worker,Accounting,555-678-9000,9104.0,robert.rowe@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@RobertRowe,,,,,,,,,,,,,,,,,,,,
9105,Smith,Robyn,Compliance Underwriter,Accounting,555-678-9000,9105.0,robyn.smith@initec.com,,,170,Crystal Allen,Fire Warden,,,,,,,,,,,,@RobynSmith,,,,,,,,,,,,,,,,,,,,
9106,Tai,Samantha,Claims Consultant,Accounting,555-678-9000,9106.0,samantha.tai@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@SamanthaTai,,,,,,,,,,,,,,,,,,,,
9107,Boland,Sandra,Compliance Underwriter,Marketing,555-678-9000,9107.0,sandra.boland@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@SandraBoland,,,,,,,,,,,,,,,,,,,,
9108,Davis,Sandy,Compliance Underwriter,Accounting,555-678-9000,9108.0,sandy.davis@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@SandyDavis,,,,,,,,,,,,,,,,,,,,
9109,Zelaya,Sasha,Claims Specialist,Marketing,555-678-9000,9109.0,sasha.zelaya@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@SashaZelaya,,,,,,,,,,,,,,,,,,,,
9110,Morrison,Saskia,Temporary Worker,Accounting,555-678-9000,9110.0,saskia.morrison@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@SaskiaMorrison,,,,,,,,,,,,,,,,,,,,
9111,Landis,Sharon,Compliance Underwriter,Accounting,555-678-9000,9111.0,sharon.landis@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@SharonLandis,,,,,,,,,,,,,,,,,,,,
9112,Dinh,Shelly,Sr. Claims Specialist,Accounting,555-678-9000,9112.0,shelly.dinh@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@ShellyDinh,,,,,,,,,,,,,,,,,,,,
9113,Huntington,Shelly,Compliance Underwriter,Accounting,555-678-9000,9113.0,shelly.huntington@initec.com,,,170,Crystal Allen,Fire Warden,,,,,,,,,,,,@ShellyHuntington,,,,,,,,,,,,,,,,,,,,
9114,Poppi,Sheri,Compliance Underwriter,Accounting,555-678-9000,9114.0,sheri.poppi@initec.com,,,170,Crystal Allen,,,,,,,,,,,,,@SheriPoppi,,,,,,,,,,,,,,,,,,,,
9115,Chambers,Shirley,Temporary Worker,Accounting,555-678-9000,9115.0,shirley.chambers@initec.com,,,180,Crystal Allen,,,,,,,,,,,,,@ShirleyChambers,,,,,,,,,,,,,,,,,,,,
9116,Knox,Stacey,Release Consultant,,555-678-9000,9116.0,stacey.knox@initec.com,,,180,Crystal Allen,,,,,,,,,,,,,@StaceyKnox,,,,,,,,,,,,,,,,,,,,
9117,Hall,Stacy,Compliance Underwriter,Accounting,555-678-9000,9117.0,stacy.hall@initec.com,,,180,Crystal Allen,,,,,,,,,,,,,@StacyHall,,,,,,,,,,,,,,,,,,,,
9118,Hoskins,Stephany,"Manager, Compliance Underwrtg",Accounting,555-678-9000,9118.0,stephany.hoskins@initec.com,,,180,Crystal Allen,,,,,,,,,,,,,@StephanyHoskins,,,,,,,,,,,,,,,,,,,,
